XYDATA,128_03,32_01,32_02,32_03,64_01,64_02,64_03,128_01,128_02,4_02,4_03,8_01,8_02,8_03,16_01,16_02,16_03,0.2_03,1_01,1_02,1_03,2_01,2_02,2_03,4_01,0.2_02,0.2_01,0.1_03,0.1_02,0.1_01
400.1099,665.91,543.491,534.966,571.007,589.484,555.519,613.99,644.924,600.997,501,513.506,520.487,505.494,527.516,530.997,519.014,545.023,492.988,497.483,499.962,496.992,501.484,498.983,503.525,508.505,496.502,499.505,495.482,496.012,494.518
401.1099,669.492,545.567,535.206,570.045,589.533,554.793,614.56,648.846,600.802,500.931,513.364,520.571,506.759,526.959,531.622,517.892,543.786,494.643,498.987,500.931,498.434,502.821,500.214,502.371,508.353,496.492,498.938,495.946,495.467,493.901
402.1099,671.606,549.292,533.56,568.4,588.67,554.398,615.075,652.591,599.877,500.968,513.387,520.044,508.972,526.543,532.845,516.153,542.536,497.635,501.123,500.794,501.004,504.82,501.849,501.483,508.354,496.431,497.965,496.111,495.043,493.704
403.1099,671.074,551.962,531.082,567.029,587.534,554.487,615.017,654.017,598.074,501.472,513.496,519.51,510.482,526.021,533.973,514.542,541.997,500.431,502.485,500.03,502.966,506.464,502.982,501.478,508.493,496.022,497.025,496.479,494.993,493.983
404.1099,667.349,551.614,528.73,566.658,586.716,555.119,614.087,651.647,595.44,502.65,513.628,519.423,510.095,525.238,534.425,513.682,542.638,501.783,502.053,499.059,503.042,506.961,502.925,502.752,508.771,495.081,496.461,497.35,495.443,494.699
405.1099,662.664,549.562,527.054,566.999,586.583,555.942,612.939,646.94,592.875,504.036,513.785,519.56,508.645,524.445,534.106,513.669,543.795,501.707,500.518,498.035,501.963,506.5,501.941,504.7,509.239,493.928,496.19,498.143,495.974,495.4
406.1099,660.021,548.02,526.493,567.486,587.441,556.49,612.49,642.16,591.513,504.981,513.991,519.511,507.519,524.005,533.056,514.452,544.495,500.563,499.041,497.038,501.017,505.542,500.556,506.447,509.965,493.024,496.008,498.035,496.016,495.516
407.1099,661.503,548.667,527.282,567.617,589.309,556.408,613.368,639.193,592.114,504.999,514.212,518.985,507.748,524.18,531.454,515.876,544.052,498.77,498.542,496.149,501.155,504.52,499.236,507.297,510.918,492.745,495.766,496.54,495.187,494.71
408.1099,665.058,550.771,528.748,567.187,590.906,555.832,614.883,638.218,593.74,504.358,514.178,518.2,508.751,524.776,530.097,517.313,543.066,497.004,498.845,495.447,501.817,503.746,498.182,507.37,511.636,493.09,495.546,494.699,493.954,493.695
409.1099,667.469,552.923,529.965,566.07,590.588,555.037,615.977,638.932,594.976,503.534,513.549,517.523,509.489,525.471,529.961,517.999,542.5,496.015,499.471,495.012,502.018,503.494,497.519,507.021,511.534,493.95,495.496,493.982,493.024,493.475
410.1099,666.311,553.964,530.245,564.315,587.31,554.246,615.825,640.874,594.724,502.898,512.148,517.225,509.203,525.978,531.645,517.395,543.033,496.308,500.007,494.918,501.059,503.952,497.301,506.567,510.28,495.149,495.702,495.361,492.963,494.729
411.1099,662.788,553.896,530.006,562.758,582.801,553.445,614.674,642.868,593.337,502.326,510.544,517.149,508.411,526.183,534.024,515.987,544.037,497.275,500.352,495.217,499.56,504.887,497.257,506.183,508.709,496.198,495.966,497.528,493.687,496.643
412.1099,659.146,553.057,529.982,562.462,579.583,552.549,613.082,643.527,591.584,501.549,509.522,517.014,507.995,526.019,535.48,514.56,544.508,497.988,500.498,495.951,498.522,505.949,497.023,506.001,507.992,496.514,496.009,498.517,494.928,497.971
413.1099,657.215,551.775,530.69,564.129,579.576,551.576,611.58,641.946,590.172,500.394,509.638,516.622,508.563,525.435,534.827,513.777,543.724,497.774,500.464,497.074,498.703,506.81,496.4,506.105,508.895,495.758,495.665,496.956,496.398,497.771
414.1099,656.878,550.346,531.63,566.774,581.899,551.001,610.583,639.45,589.514,499.103,510.395,516.177,509.429,524.444,532.887,513.754,542.252,497.15,500.399,498.123,499.74,507.238,495.943,506.343,510.302,494.708,495.308,494.229,497.718,496.511
415.1099,657.456,549.059,532.011,568.927,584.857,551.436,610.474,638.009,589.94,498.043,510.988,515.996,509.536,523.083,531.067,514.442,541.039,496.98,500.487,498.509,500.944,507.033,496.432,506.498,510.551,494.469,495.467,492.521,498.482,495.066
416.1099,658.323,548.154,531.244,569.441,586.983,553.214,611.456,638.995,591.579,497.532,510.837,516.292,508.212,521.479,530.462,515.703,540.819,497.851,500.848,497.836,501.753,506.107,498.365,506.409,508.52,495.79,496.493,493.439,498.409,494.182
417.1099,659.102,547.649,529.712,568.705,587.902,555.354,612.909,640.941,593.617,497.657,510.406,516.773,506.615,520.206,530.704,516.959,541.318,499.058,501.283,496.594,502.199,504.904,500.93,506.183,505.621,497.76,497.903,495.879,497.777,493.995
418.1099,659.496,547.499,528.08,567.558,587.557,556.493,613.97,641.551,594.967,498.438,510.467,517.003,506.435,519.969,530.998,517.505,541.971,499.518,501.5,495.538,502.485,504.027,502.93,506.005,504.009,498.982,498.966,497.936,497.035,494.457
419.1099,659.306,547.634,526.907,566.753,586.029,555.657,613.986,639.194,594.792,499.814,511.58,516.683,508.809,521.237,530.753,516.871,542.288,498.475,501.293,495.269,502.754,503.915,503.433,506.022,505.228,498.449,499.11,498.114,496.575,495.462
420.1099,658.829,547.872,526.246,566.635,584.051,553.708,613.295,635.388,593.437,501.34,513.31,516.164,512.24,523.373,530.352,515.709,542.15,496.726,500.858,495.679,502.852,504.253,502.752,506.209,507.939,496.998,498.509,496.836,496.531,496.625
421.1099,658.505,548,526.003,567.426,582.55,552.055,612.532,632.577,591.601,502.461,514.929,515.989,514.458,525.41,530.466,515.006,541.547,495.525,500.51,496.453,502.534,504.5,501.566,506.484,509.953,496.013,497.555,495.09,496.961,497.472
422.1099,658.632,547.852,526.086,569.168,582.216,551.804,612.207,632.593,589.893,502.789,515.861,516.521,513.769,526.588,531.528,515.529,540.539,495.804,500.494,497.297,501.654,504.24,500.466,506.767,509.612,496.507,496.624,493.766,497.837,497.652
423.1099,658.835,547.485,526.428,571.048,582.618,552.666,612.267,634.362,588.513,502.74,516.259,517.276,511.206,527.113,532.873,517.015,539.526,496.968,500.717,498.025,500.512,503.637,499.608,506.971,507.779,497.75,496.009,493.284,498.711,497.375
